location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,1,1,1,1,1,1,1,1,1,1
Belgium,4,4,4,4,4,4,4,4,4,4
Bolivia,2,2,2,2,2,2,2,2,2,2
Brazil,1,1,1,1,1,1,1,1,1,1
Bulgaria,2,2,0,0,0,0,0,0,0,0
Canada,4,4,4,4,4,4,4,6,6,6
Chile,1,1,1,1,1,1,1,1,1,1
China,4,4,4,4,4,4,5,5,5,5
Colombia,0,0,0,0,0,0,0,0,1,1
Croatia,1,1,0,0,0,0,0,0,0,0
Czech Republic,3,3,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,1,1,1,1,1,1
Ecuador,0,0,0,0,0,0,0,0,1,1
El Salvador,0,0,0,0,0,0,0,0,1,1
England,3,3,3,3,3,3,3,4,4,4
Germany,6,6,6,6,6,6,6,6,5,5
Honduras,0,0,0,0,0,0,0,0,1,1
Hungary,1,1,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,1,1
Luxembourg,1,1,1,1,1,1,1,1,1,1
Mexico,0,0,0,0,0,1,1,1,1,1
Montenegro,1,1,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,1,1
Netherlands,3,3,2,2,2,2,2,2,2,2
Paraguay,1,1,1,1,1,1,1,1,1,1
Peru,0,0,0,0,0,0,0,0,2,2
Romania,1,1,0,0,0,0,0,0,0,0
Russia,7,7,7,7,7,7,7,7,7,7
Scotland,1,0,0,0,0,0,0,0,0,0
Serbia,1,1,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,1,1
South Korea,1,0,0,0,0,0,1,1,1,1
Spain,0,0,0,0,0,0,0,0,1,1
Swaziland,0,0,0,0,0,0,0,0,1,1
Tanzania,0,0,0,0,0,0,0,0,1,1
Uganda,0,0,0,0,0,0,0,0,1,1
Ukraine,3,3,3,3,3,3,3,3,2,2
Uruguay,1,1,1,1,1,1,1,1,1,1
Venezuela,1,1,1,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,1,1
United States,1,1,1,2,2,2,3,5,7,7
