location,2017
Angola,1
Austria,1
Bahamas,1
Belarus,2
Belgium,3
Brazil,1
Bulgaria,1
Cambodia,1
China,2
Congo,2
Croatia,1
Czech Republic,3
Egypt,1
England,1
Ethiopia,2
Finland,0
France,1
French Polynesia,1
Ghana,0
Greece,1
Haiti,1
Hungary,1
Indonesia,1
Ireland,1
Italy,2
Laos,1
Lebanon,1
Martinique,1
Mexico,1
Netherlands,1
New Caledonia,1
New Zealand,1
Nigeria,1
Panama,1
Papua New Guinea,1
Poland,2
Reunion,1
Romania,3
Russia,8
Saint Lucia,1
Scotland,1
Serbia,1
Singapore,1
Slovak Republic,2
Solomon Islands,1
Spain,1
Sri Lanka,1
Suriname,1
Switzerland,2
Vietnam,2
United States,2
